# BENCH: CUDA_VISIBLE_DEVICES=<N> bench-sweep --model google/gemma-4-26B-A4B-it --concurrencies "1 16 256" --isl 1000 --osl 1000 --config-path reduced_config_gemma4.yaml --server-type trtllm-autodeploy --extra-aiperf-args="--tokenizer /home/chengzhang/tokenizers/gemma-4-26B-A4B-it --use-server-token-count"
# ACCURACY: CUDA_VISIBLE_DEVICES=<N> pytest tests/integration/defs/accuracy/test_llm_api_autodeploy.py::TestGemma4MoE::test_bf16 -s -v
# MODEL: ALL rows use REDUCED 6-layer model (reduced_config_gemma4.yaml).
# NOTE: iter0-iter59 measured WITHOUT --use-server-token-count (client overcounts by ~16%, TPOT appears lower). iter60+ measured WITH --use-server-token-count.
iter	commit	ttft_c1	tpot_c1	tps_c1	ttft_c16	tpot_c16	tps_c16	ttft_c256	tpot_c256	tps_c256	correctness	status	description
34	bc89a89e15	45.96	2.264	432.1	122.69	3.255	4730.9	3594.74	18.059	11513.6	-	keep	iter39: adaptive Triton/flashinfer dispatch — tpot@c1 -1.5% vs iter25, c16 flat, c256 +3.8% (investigate)
35	(discarded)	46.30	2.355	414.1	124.68	3.521	4397.7	3702.15	18.573	11232.4	-	discard	iter40: dual_norm+norm_add2 — tpot@c1 +4.0%, c16 +8.2% REGRESSION; root cause: dual_norm serializes multi_stream_moe (both MLP+MoE streams now wait for 1 fused op)
36	(discarded)	55.35	5.357	186.7	536.09	12.470	80.2	96639.86	18.906	52.9	-	discard	iter41: fused QKV norm (tuple custom_op) — tpot@c1 +137%, c16 +295% REGRESSION; root cause: tuple-return custom_op not captured in CUDA graph, 30 graph exit/reentry per decode step
37	(discarded)	55.26	5.419	184.5	461.39	12.515	79.9	96506.69	18.833	53.1	-	discard	iter42-wrong-model: accidentally ran FULL 30-layer model instead of 6-layer reduced (multi_stream_moe=30 vs 6 expected); results not comparable to baseline
38	dec9e19d61	46.57	2.179	458.9	117.24	3.167	315.7	2909.66	18.506	54.0	pass	keep	iter42 (correct 6L run): fuse dense+MoE add with post-ffn norm — tpot@c1 -3.8%, c16 -2.7%, c256 +2.5% (src: remove 1 Python dispatch/layer in dynamic eager segments)
39	021b512b96	45.27	2.172	430.1	115.81	3.152	4686.8	3096.33	18.618	11385.8	-	discard	iter43: skip aux CPU sync (AD_SKIP_AUX_CPU_SYNC=1) — tpot@c1 -0.3% marginal (< 1.5% threshold)
40	7598501fa0	46.01	2.139	436.8	116.52	3.220	4640.7	2881.23	18.668	11482.8	pass	keep	iter44: fuse post_attn_norm+pre_ff_norm → packed kernel — tpot@c1 -1.8%, c16 +1.7% (within noise), c256 +0.9%
41	(discarded)	45.88	2.290	427.2	120.05	3.270	4712.9	3807.06	17.800	11503.6	fail	discard	iter45: cross-layer fusion (cross-layer input_layernorm) — tpot@c1 +7.1% REGRESSION, MMLU 34.1% (near-random); root cause: 2-reduction kernel has higher register pressure (worse occupancy) than 2 separate kernels; DISCARD
42	(discarded)	47.28	2.180	432.4	116.85	3.220	4624.8	2785.37	18.800	11461.4	pass	discard	iter46: extend post_norm_add_and_pre_ff_norm to 3-output (pre_ff_2 via shared inv_rms2) — tpot@c1 +1.92% REGRESSION, TTFT +2.76%; root cause: large-T copy_ overhead + extended Triton kernel memory pressure outweigh savings; DISCARD
43	(discarded)	47.08	2.183	430.5	122.81	3.209	4646.7	3382.08	18.724	11499.7	pass	discard	iter47: fuse pre_feedforward_layernorm_2 INTO router kernel — tpot@c1 +2.1% REGRESSION vs iter44; high run variability (2nd run p50=2.183 vs 1st run 2.131); router second H-loop may cause cache pressure; DISCARD
44	(discarded)	45.83	2.183	428.2	121.00	3.225	4614.5	3603.43	18.755	11379.5	pass	discard	iter48: fuse post_feedforward_layernorm_2 INTO combine kernel (gemma4_post_moe_norm_add_norm_add_scale) — stacks on iter47; no additional regression vs iter47; combined iter47+iter48 +2.1% REGRESSION; DISCARD
45	61830b0888	54.84	5.418	177.6	-	12.720	-	-	18.963	-	-	discard	iter49: 3-reduction combine kernel (fuse post_ff_ln_1+post_ff_ln_2) — full-model tpot_c1=5.418ms (+0.75% vs iter44 5.459ms), below 1.5% threshold; reduced-model -1.07% regression; DISCARD
# --- From iter49 onward: using FULL 30-layer model (examples/auto_deploy/model_registry/configs/gemma4_moe.yaml) ---
# --- Previous rows (iter0-iter48) used reduced 6-layer config (reduced_config_gemma4.yaml); absolute tpot values not comparable ---
46	f8eb895b6c	-	5.406	-	-	-	-	-	-	-	pass	discard	iter50: revert iter47 router + keep iter49 combine — full-model tpot_c1=5.406ms (+0.97% vs iter44), below 1.5% threshold; reduced-model tpot_c1=2.162ms (REGRESSION vs iter44 2.139ms); DISCARD
# --- From iter51 onward: back to reduced 6-layer config (reduced_config_gemma4.yaml); iter49-50 full-model experiment conclusive (both DISCARD) ---
# --- iter51-redux (extend post_norm_add_and_pre_ff_norm to 3-output) ABORTED: would duplicate iter46 (already DISCARDed) ---
47	763ca34603	44.89	2.174	430.7	114.90	3.203	4655.5	18.570	18.697	11341.5	-	discard	iter51: fused QKV RMSNorm (q_norm+k_norm+v_norm → 1 Triton launch) — final v3/v4 (fixed code): tpot_c1 avg=2.174ms (+1.62% REGRESSION vs iter44 2.139ms); root cause: 32-block Triton kernel with 3-way conditional + small tiles slower than 3 flashinfer calls; DISCARD
48	30e4f06a37	47.01	2.159	433.6	116.55	3.212	4643.7	18.722	18.619	11379.0	pass	discard	iter52: extend post_norm_add_and_pre_ff_norm to dense layers — avg tpot_c1=2.159ms (+0.92% REGRESSION vs iter44 2.139ms, 4 runs: -0.80/+1.33/+1.86/+1.28%); root cause: dense pre_ff_norm was already in CUDA graph (fast native op), fusion replaced it with slower Triton dual-reduction; DISCARD
# --- From iter53 onward: CPU scheduling overhead reduction; iter44 is the best prior GPU-kernel commit ---
49	0618f1e53a	45.28	2.267	431.7	119.03	3.311	4657.1	3482.60	18.003	11594.7	-	keep	iter55+56: batched cache lookup (n>=64) + get_last_tokens (1-call vs 2) + input_pos cache — c1 flat (2.267ms), c256 -3.6% vs iter44 (18.003ms)
50	d2f6d21f9b	45.53	2.250	434.8	122.88	3.324	4635.0	3308.11	17.925	11746.0	pass	keep	iter57: remove redundant position_ids computation in nest_sequences — c1 flat (2.250ms), c256 -4.0% vs iter44 (17.925ms); accuracy PASSED
51	(discarded)	45.25	2.237	437.2	125.72	3.328	4625.4	3673.58	18.834	11092.9	-	discard	iter58: lower batch_cache threshold 64→2 — c256 +5.1% REGRESSION (18.834ms); DISCARD
52	(discarded)	46.92	2.241	436.3	122.29	3.319	4642.3	3224.03	18.368	11580.0	-	discard	iter59: cache max_beam_num_tokens for overlap path (dict-based) — c256 +2.5% REGRESSION (18.368ms); DISCARD
# --- From iter60 onward: measured WITH --use-server-token-count ---
53	b25dc6d894	46.28	2.210	431.8	120.18	3.200	4674.8	2999.05	18.410	11561.7	-	keep	iter60: fused_add_rmsnorm for large-T gemma4_post_add_norm_add_scale — eliminates a+b→x temp read, 4→3 kernels, 0 temp allocs; BEST STATE
54	71014e1c8b	45.66	2.140	437.1	113.59	3.190	4694.0	2881.06	18.290	11662.7	pass	keep	iter61: rmsnorm out= for all 3 large-T paths — eliminates 1-2 T×H temp allocs + better L2 reuse; c1 -3.2% (2.210→2.140ms), c16 -0.3% noise, c256 -0.7% noise; accuracy PASSED; BEST STATE
55	ad6e010958	45.92	2.160	435.1	123.00	3.198	4584.7	2865.09	18.681	11477.4	pass	discard	iter62: revert iter55+56 — confirmed NO REAL EFFECT (WITH=2.14ms vs WITHOUT=2.12ms, within noise); apparent regression vs iter61 was apples-to-oranges (different token counting); DISCARD
56	9cfa9670d3	46.55	2.202	443.8	123.72	3.290	4678.4	3474.87	18.051	11567.6	pass	discard	iter63: raise garbage_collection_gen0_threshold 20000->200000 — improved vs fresh same-day baseline, but slower than iter61 at c1/c16 with the same token-counting method; c256-only win is not enough to replace iter61 as best state; DISCARD
# --- NOTE: raw on-disk iter61 artifacts (260410_1127_260410_iter61_v1, 260410_1133_260410_iter61_v2, 260410_1219_iter61_1k1k) do not match row54 exactly. Fresh reproductions are logged below and should be treated as source of truth until reconciled. ---
57	(ref)	45.71	2.241	436.4	115.14	3.317	4653.5	3734.18	18.676	11103.5	-	ref	iter64-base: fresh same-day rerun of iter61 state used for A/B on piecewise bucket sweeps
58	(discarded)	46.98	2.232	437.8	122.08	3.299	4669.8	3819.16	18.516	11129.1	-	discard	iter64a: explicit piecewise buckets [64,128,256,512,1000,2000,4000,8192] — same-day c1/c16 better than iter64-base, but still slower than iter61 branch baseline; DISCARD
59	(discarded)	45.29	2.228	439.0	118.19	3.307	4662.7	3563.94	18.285	11401.9	-	discard	iter64b: exact 1000 bucket [64,128,256,512,1000,2048,4096,8192] — same-day c256 win/noise, but slower than iter61 at c1/c16; DISCARD
60	(discarded)	45.40	2.219	440.8	122.09	3.308	4657.6	3739.53	18.548	11167.4	-	discard	iter64c: exact 1000+2000 buckets [64,128,256,512,1000,2000,4096,8192] — same-day c1 win/noise, but slower than iter61 at c1/c16; DISCARD
61	(discarded)	45.80	2.260	432.8	119.60	3.283	4694.5	3386.15	18.253	11513.3	-	discard	iter65: confirm exact 1000 bucket — better c256 than iter61, but c1/c16 still slower; DISCARD
62	(discarded)	45.99	2.274	429.9	120.23	3.307	4661.2	3616.97	18.232	11378.3	-	discard	iter66a: piecewise buckets [64,128,256,512,1000,1536,2048,4096,8192] — no overall win; DISCARD
63	(discarded)	45.12	2.274	430.3	123.08	3.317	4642.8	3756.95	17.848	11539.3	-	discard	iter66b: piecewise buckets [64,128,256,512,1000,1536,2048,3072,4096,8192] — c256 win, but c1/c16 regressed too much; DISCARD
64	(discarded)	46.95	2.324	420.7	124.93	3.282	4689.9	3583.05	18.174	11456.0	-	discard	iter67: decode-only position_ids fast path (position_ids=input_pos when seq_len==1) — c1 regression; DISCARD
65	(discarded)	46.50	2.273	430.2	153.75	3.321	4597.5	3606.57	18.231	10275.0	-	discard	iter68: cached host arange for token_gather_indices — regression, especially c16/c256 throughput; DISCARD
66	(no-export)	-	-	-	-	-	-	-	-	-	-	discard	iter69: first confirm run for piecewise [64,128,256,512,1000,1536,2048,3072,4096,8192] produced no usable metric export; reran immediately as iter69b
67	(discarded)	46.27	2.239	436.7	120.43	3.300	4671.5	3581.32	18.161	11468.1	-	discard	iter69b: confirm piecewise [64,128,256,512,1000,1536,2048,3072,4096,8192] — same-day c256 win, but slower than iter61 at c1/c16; DISCARD
68	(discarded)	46.33	2.250	434.5	142.34	3.321	4612.5	3668.06	18.453	11267.4	-	discard	iter70: token_gather cache + piecewise [64,128,256,512,1000,1536,2048,3072,4096,8192] — combined regression; DISCARD
69	(discarded)	45.16	2.231	438.4	118.20	3.278	4705.0	3542.67	18.004	11555.0	-	discard	iter71: decode-only fast path in ad_executor — same-day win vs iter64-base, but slower than iter61 at c1/c16; DISCARD
70	(discarded)	45.97	2.276	429.7	122.55	3.304	4661.4	3616.13	18.187	11430.8	-	discard	iter72: decode fast path + piecewise [64,128,256,512,1000,1536,2048,3072,4096,8192] — regression; DISCARD
71	(uncommitted)	55.44	5.623	176.1	460.30	12.719	1214.3	-	-	-	pass	discard	iter73: full-model validation of iter71 decode fast path — accuracy PASSED, but c1/c16 slower than same-day full baseline and c256 never completed cleanly; DISCARD
72	(uncommitted)	45.10	2.302	425.3	122.29	3.302	4665.6	-	-	-	-	discard	iter74: decode fast path + py_last_token cache — c1 regression; c256 export incomplete; DISCARD
73	(uncommitted)	46.82	2.232	437.9	121.83	3.291	4681.1	3435.88	18.160	11544.6	pass	discard	iter75: decode-only SequenceInfo fast path — same-day win vs iter64-base, but still slower than iter61 branch baseline at c1/c16; accuracy PASSED; DISCARD
74	(ref)	56.86	5.605	176.6	453.15	12.666	1219.9	-	-	-	-	ref	iter76: same-day full-model baseline for iter73/iter79 comparison; c256 never completed cleanly
75	(uncommitted)	45.91	2.216	441.1	122.54	3.323	4636.9	3439.92	18.339	11417.5	-	discard	iter77: decode fast path + no-spec draft classification shortcut — slower than iter61 at all 3 concurrencies; DISCARD
76	(uncommitted)	45.76	2.263	432.2	115.80	3.310	4662.7	993.95	17.885	11785.5	-	discard	iter78: decode fast path + SequenceInfo fast path combo — c1 already regressed and run quality was unstable; DISCARD
77	(uncommitted)	55.17	5.614	176.3	460.21	12.740	1212.5	-	-	-	pass	discard	iter79: full-model validation of iter75 SequenceInfo fast path — accuracy PASSED, but c1/c16 slower than iter76 full baseline; DISCARD
78	(uncommitted)	45.98	2.210	442.4	119.36	3.314	4653.5	3528.90	18.624	11219.1	-	discard	iter80: fresh rebench of ad6e010958 revert iter55+56 — does not reproduce row54 and loses to fresh exact iter61 reproduction on c16/c256; DISCARD
79	(uncommitted)	46.09	2.268	431.3	134.28	3.305	4645.4	3770.15	18.496	11202.2	-	discard	iter81: fresh rebench of current branch (code-identical to 71014e1c8b for perf-relevant files) — does not reproduce row54; DISCARD
80	(uncommitted)	46.80	2.215	441.1	149.37	3.287	4646.9	3442.79	18.131	11553.9	-	ref	iter82: exact 71014e1c8b reproduction under reduced load — reproducible current baseline is 2.215/3.287/18.131, which does not match row54
81	(uncommitted)	49.53	2.268	430.7	-	-	-	-	-	-	-	discard	iter83: piecewise 1010 bucket [64,128,256,512,1010,2048,4096,8192] — c1 regression vs fresh exact iter61 reproduction; stopped early and discarded
82	(uncommitted)	46.56	2.269	430.9	-	-	-	-	-	-	-	discard	iter84: piecewise [64,128,256,512,1000,1010,1536,2048,3072,4096,8192] — c1 regression vs fresh exact iter61 reproduction; stopped early and discarded
83	(uncommitted)	46.71	2.229	438.5	119.12	3.292	4684.3	3273.68	18.080	11640.2	-	ref	iter85: isolated rerun of exact 71014e1c8b — confirms current reproducible baseline is ~2.22/3.29/18.1, not row54
# --- Full model baselines resumed; iter86+ uses full 30-layer model (gemma4_moe.yaml) ---
84	(uncommitted)	58.2	5.613	176.3	465.3	12.770	1209.1	85916.0	19.789	2196.7	-	ref	iter86: full-model baseline on current branch (641e3aca63) — c1=5.613ms, c16=12.770ms, c256=19.789ms; TTFT@c256=85.9s due to queuing from slow full-model prefill; reproducible full-model baseline
85	(uncommitted)	46.2	2.270	430.8	121.6	3.284	4691.9	3470.3	18.054	11554.7	-	discard	iter88: multi_stream_gemm transform + piecewise — confirmed no-op for BF16 (matches=0 in server log), c1=2.270ms within noise of 2.215ms baseline; router multi-SM sweep also showed 65% slower (36us vs 22us); DISCARD
86	(uncommitted)	65.5	5.595	176.6	467.5	12.663	1218.9	-	-	-	-	discard	iter89: full model + explicit piecewise_num_tokens [64,128,256,512,1000,1536,2048,3072,4096,8192] — c1=5.595ms (+0.32% vs 5.613ms baseline, within noise); piecewise_num_tokens does NOT help full model meaningfully; DISCARD
87	(uncommitted)	46.5	2.217	440.9	118.5	3.300	4672.7	3348.2	18.059	11637.1	-	discard	iter90: reduced-model T-adaptive router (bh=256,nw=4 for T>=256) — c1=2.217ms/c16=3.300ms flat (within noise, expected; router hidden under dense MLP at small T), c256=18.059ms vs 18.080ms baseline (-0.1%, within noise; only 6 layers so 6x13us=78us savings too small to measure); DISCARD
88	(uncommitted)	54.8	5.606	176.6	437.1	12.725	1215.9	85649.9	19.755	2202.4	-	ref	iter91: full-model T-adaptive router (bh=256,nw=4 for T>=256) — c1=5.606ms (-0.1%), c16=12.725ms (-0.4%), c256=19.755ms (-0.2% vs 5.613/12.770/19.789ms baselines); all within noise; standalone benchmark shows 32.4us vs 45.6us at T=256 (-29%), but full-model noise at c256 masked by KV cache pressure (1.7GB free); change is correct (H=2816/256=11 exact, no masked loads); KEEP
89	(uncommitted)	45.5	2.245	435.7	123.3	3.291	4678.8	3538.6	18.265	11393.5	-	discard	iter92: reduced-model _TRITON_T_THRESHOLD=0 (always FlashInfer) — c1=2.245ms (+1.4%), c16=3.291ms (+0.1%), c256=18.265ms (+0.7%); all regressions vs 2.215/3.287/18.131ms baseline; standalone benchmarks showed FlashInfer 1.4-2x faster but that is serial scheduling overhead not CUDA-graph overhead; in CG Triton 1-kernel beats FlashInfer 2-3-kernels due to lower dispatch overhead; REVERTED to threshold=8
90	(uncommitted)	-	2.343	-	-	3.317	-	-	18.199	-	-	discard	iter93: attn_backend=flashinfer in reduced_config_gemma4.yaml — c1=2.343ms (+5.8%), c16=3.317ms (+0.9%), c256=18.199ms (+0.4%); FlashInfer 0.6.6 is broken for Gemma4 on H100: head_dim=512 global layers cause SIGFPE in plan() via fa2 backend (divide-by-zero); local layers (N_H=16,N_KV=8,H=256,GQA=2) get group_size=0 error; both failures leave decode wrappers in corrupted state causing slow fallback path; FlashInfer is definitively NOT viable for Gemma4; REVERTED to triton_paged
91	(uncommitted)	-	2.214	-	-	3.282	-	-	17.826	-	-	keep	iter94: fused QKV-norm: gemma4_qkv_norm custom op replacing 3 separate torch_rmsnorm calls for q/k/v in Gemma4TextAttention; single Triton kernel for total_rows<=256 (BS<=8), flashinfer fallback for large T; CUDA-graph standalone: 3 flashinfer=3.9µs → 1 fused=1.3µs per attn block (3.0x), expected 78µs savings/step over 30 layers; reduced 6-layer model c1=2.214ms flat (6-layer savings ~16µs too small to measure); full model iter95 shows -2.4% → KEEP
92	(uncommitted)	-	5.470	-	-	12.756	-	-	19.691	-	-	keep	iter95: full-model benchmark of iter94 (fused QKV-norm); c1=5.470ms vs 5.606ms iter91-ref (-2.4%=136µs), c16=12.756ms vs 12.725ms (+0.2%, within noise), c256=19.691ms vs 19.755ms (-0.3%, within noise); standalone CUDA-graph bench projected 78µs; actual 136µs (difference may be compile effects); KEEP pending re-run confirmation
